N,Город,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Должность,exp,current_job_exp,Язык.программирования,Специализация,Возраст,Пол,Образование,Университет,Еще.студент,Уровень.английского,Размер.компании,Тип.компании,Предметная.область
4,Odessa,17000,-20,QA Engineer,3,2,,Manual QA,26,female,Высшее,ОНАС,False,выше среднего,до 50 человек,Стартап,Mobile
4205,Odessa,2500,400,Software Engineer,3,2,C++,,24,female,Незаконченное высшее,ОНАС,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Automotive
7305,Odessa,1500,300,QA Engineer,3,2,,Manual QA,22,female,Высшее,ОНПУ,False,выше среднего,до 1000 человек,Аутсорсинговая,Інша
7824,Odessa,1300,500,HR,3,2,,,27,female,Высшее,Other вуз,False,средний,до 50 человек,Продуктовая,Mobile
8397,Odessa,1100,300,Marketing,3,2,,,25,female,Два высших,Other вуз,False,выше среднего,до 50 человек,Продуктовая,Інша
8438,Odessa,1100,200,QA Engineer,3,2,,Manual QA,26,female,Высшее,Other вуз,False,средний,до 1000 человек,Аутстаффинговая,Fintech
8798,Odessa,1000,350,HR,3,2,,,25,female,Высшее,ОНУ им. Мечникова,False,выше среднего,до 50 человек,Продуктовая,Logistics
8900,Odessa,1000,0,Marketing,3,2,,,30,female,Высшее,,False,выше среднего,до 1000 человек,Продуктовая,E-commerce
10753,Odessa,600,200,HR,3,2,,,24,female,Высшее,Other вуз,False,средний,до 1000 человек,Аутсорсинговая,"Big Data, Data Science, Machine Learning"
10920,Odessa,600,100,Designer,3,2,,,27,female,Высшее,Other вуз,False,ниже среднего,до 1000 человек,Продуктовая,Manufacturing
